DB,UT,DI,PMID,TI,SO,JI,PY,DT,LA,TC,AU,AF,C1,RP,CR,DE,ID,AB,VL,IS,BP,EP,SR
PUBMED,,,41428500,ARKbase: Antimicrobial Resistance Knowledgebase1.0.,Nucleic Acids Res,,2026,Journal Article,eng,0,Gambhir S;Pandey S;Bajetha H;Kaur J;Das A;Pranavathiyani G;Aggarwal R;Maity U;Dange S;Singh V;Zarkar M;Sankhdher R;Singh B;Seth S;Bhardwaj A,,,,,,,,54,D1,D703-D714,,"S Gambhir, 2026, Nucleic Acids Res"
PUBMED,,,41315831,Ad hoc bandwidth requests and power conservation in 5G wireless networks with tiny cells.,Sci Rep,,2025,Journal Article,eng,0,Rajesh A;Ravikumar CV;Sulthana SF;Kim TH;Shankar T;Srinivasulu A;Altameem T,,,,,,,,15,1,42792,,"A Rajesh, 2025, Sci Rep"
PUBMED,,,41287046,Nipah Virus Inhibitor Knowledgebase (NVIK): a combined evidence approach to prioritise small molecule inhibitors.,J Cheminform,,2025,Journal Article,eng,0,Singh B;Kumari N;Upadhyay A;Pahuja B;Covernton E;Kalia K;Tuteja K;Paul PR;Kumar R;Zarkar MS;Bhardwaj A,,,,,,,,17,1,174,,"B Singh, 2025, J Cheminform"
PUBMED,,,41274086,Polyp image segmentation based on parallel dilated convolution and dual attention mechanisms.,Neural Netw,,2026,Journal Article,eng,0,Chen S;Chen K;Wang C;Zhou Z;Wen S;Zhu T;Wu M,,,,,,,,195,,108282,,"S Chen, 2026, Neural Netw"
PUBMED,,,41241336,"Neuroprotection by post-stroke administration of the slow-releasing hydrogen sulfide (H(2)S) donor AP39: Long-Term functional, MRI, and molecular evidence in a rodent stroke model.",Eur J Pharmacol,,2025,Journal Article,eng,0,Bartosz P;Weronika K;Alicja S;Jakub J;Katarzyna PP;Małgorzata S;Monika M;Zuzanna G;Patrycja R;Eugene K;Michel M;Roberta T;Matthew W;Lucyna PC;Joanna P;Bogusława B,,,,,,,,1008,,178331,,"P Bartosz, 2025, Eur J Pharmacol"
PUBMED,,,41230453,State-of-Art in Studying the Public Health Effects of Heat: A Literature Review.,Glob Chall,,2025,Journal Article,eng,0,Gianquintieri L;Caiani EG,,,,,,,,9,11,e00381,,"L Gianquintieri, 2025, Glob Chall"
PUBMED,,,41219714,Study protocol for a randomized controlled trial assessing clinical efficacy of digital cognitive rehabilitation for preclinical and mild clinical stages of alzheimer's disease continuum: the MI-RICORDO project.,BMC Psychiatry,,2025,Journal Article,eng,0,Blasi V;Isernia S;Rossetto F;Pagliari C;Borgnis F;Pirastru A;Marzulli M;Foglia E;Garagiola E;Baglio F,,,,,,,,25,1,1075,,"V Blasi, 2025, BMC Psychiatry"
PUBMED,,,41116350,Distribution of singular values in large sample cross-covariance matrices.,Phys Rev E,,2025,Journal Article,eng,0,Swain A;Ridout SA;Nemenman I,,,,,,,,112,3-2,035312,,"A Swain, 2025, Phys Rev E"
PUBMED,,,41092974,CAT-GxD: Centralized access to gene expression datasets.,Anaerobe,,2025,Journal Article,eng,0,Roxas BAP;Roxas JL;Guo JS;LeBauer DS;McCarthy F;Vedantam G;Viswanathan VK,,,,,,,,96,,103005,,"BAP Roxas, 2025, Anaerobe"
PUBMED,,,41049017,Using Choice and Utility Value to Promote Interest: Stimulating Situational Interest in a Lesson and Fostering the Development of Interest in Statistics.,J Educ Psychol,,2025,Journal Article,eng,0,Asher MW;Harackiewicz JM,,,,,,,,117,4,647-662,,"MW Asher, 2025, J Educ Psychol"
PUBMED,,,41038717,Reassessing data management in increasingly complex phenotypic datasets.,Trends Plant Sci,,2026,Journal Article,eng,0,Pommier C;Alic I;Cabrera-Bosquet L;Draye X;Neveu P;Reif JC;Robbins KR;Krajewski P;Tardieu F,,,,,,,,31,5,543-554,,"C Pommier, 2026, Trends Plant Sci"
PUBMED,,,41036253,"Privacy-, linguistic-, and information-preserving synthesis of clinical documentation through generative agents.",Front Artif Intell,,2025,Journal Article,eng,0,van Velzen M;van der Willigen RF;de Beer VJ;de Graaf-Waar HI;Janssen ERC;van Leeuwen S;van der Willigen MF;van der Willigen MJ;Renardus G;El Maaroufi R;Satimin SJ;Hartog LM;Hulsen T;van Meeteren NLU;Scheper MC,,,,,,,,8,,1644084,,"M van Velzen, 2025, Front Artif Intell"
PUBMED,,,41033015,Does BMI influence AI and human reader lung nodule detection in low-dose chest CT?,Eur J Radiol,,2025,Journal Article,eng,0,Sourlos N;van Tuinen M;Sidorenkov G;de Jonge G;Schalekamp S;Pelgrim GJ;Greuter M;Rook M;Prokop M;van Ooijen P;Vliegenthart R,,,,,,,,193,,112453,,"N Sourlos, 2025, Eur J Radiol"
PUBMED,,,41023760,"Sacroiliac joint involvement in psoriatic arthritis - MRI, radiographic and clinical findings in 581 European routine care patients.",Arthritis Res Ther,,2025,Journal Article,eng,0,Vladimirova N;Hadsbjerg AE;Krabbe S;Ciurea A;Bubová K;Gregová M;Nissen MJ;Möller B;Micheroli R;Pedersen SJ;Závada J;Snoj Z;Pintaric K;Gudbjornsson B;Rotar Z;Eshed I;Sudol-Szopinska I;Gosvig K;Diekhoff T;Lambert RG;de Hooge M;Donzallaz M;Bernatschek A;Hetland ML;Ørnbjerg LM;Østergaard M,,,,,,,,27,1,185,,"N Vladimirova, 2025, Arthritis Res Ther"
PUBMED,,,41015781,Early Prediction and Risk Analysis Using Hybrid Deep Learning Techniques in Multimodal Biomedical Image.,Dev Neurobiol,,2025,Journal Article,eng,0,Vylala A;Plakkottu Radhakrishnan B;Balakrishnan Kadan A,,,,,,,,85,4,e23001,,"A Vylala, 2025, Dev Neurobiol"
PUBMED,,,40656660,Growing Data science Research in Africa to Stimulate Progress (GRASP) program: Rationale and overview.,Equity Neurosci,,2025,Journal Article,eng,0,Uvere E;Kumuthini J;Fatumo S;Taiwo J;Akinyemi R;Ogunniyi A;Ogbole G;Aribisala B;Sarfo F;Jegede A;Akinyemi J;Vedanthan R;Okekunle A;Lackland D;Ovbiagele B;Owolabi M,,,,,,,,1,1,,,"E Uvere, 2025, Equity Neurosci"
PUBMED,,,40648628,The Impact of Automation and Digitalization in Hospital Medication Management: Economic Analysis in the European Countries.,Healthcare (Basel),,2025,Journal Article,eng,0,Orsini FF;Bellavia D;Schettini F;Foglia E,,,,,,,,13,13,,,"FF Orsini, 2025, Healthcare (Basel)"
PUBMED,,,40493067,Changes in numbers needed to treat and hospital care expenditures of optimized indications for primary prevention implantable cardioverter defibrillators: a scenario analysis.,Clin Res Cardiol,,2026,Journal Article,eng,0,van Barreveld M;van Dessel PFHM;Buskens E;Boersma LVA;Delnoy PPHM;Tuinenburg AE;Theuns DAMJ;van der Voort PH;Kimman GP;Verstraelen TE;Zwinderman AH;Wilde AAM;Dijkgraaf MGW,,,,,,,,115,4,576-589,,"M van Barreveld, 2026, Clin Res Cardiol"
PUBMED,,,40475002,Cost-effectiveness of tuberculosis infection screening at first reception into English prisons: a model-based analysis.,EClinicalMedicine,,2025,Journal Article,eng,0,Mafirakureva N;Hunter R;Ferraro CF;Willner S;Finnie T;Hayward A;Lee A;Roy A;Edge C;Dodd PJ,,,,,,,,83,,103245,,"N Mafirakureva, 2025, EClinicalMedicine"
PUBMED,,,40380711,Controlled Intervention Study on Effects of an AI-Based App to Support Wound Care: First Results.,Stud Health Technol Inform,,2025,Journal Article,eng,0,Pinnekamp H;Priester V;Brehmer A;Fischer U,,,,,,,,327,,1295-1296,,"H Pinnekamp, 2025, Stud Health Technol Inform"
PUBMED,,,40251825,Comparison of the effectiveness of visual acuity measurements for amblyopia screening at the age of 36 and 45 months and difference in severity of amblyopia detected.,Acta Ophthalmol,,2025,Journal Article,eng,0,Telleman MAJ;Sloot F;Benjamins SJ;Loudon SE;Spek B;Simonsz HJ;Orthoptic Research Group,,,,,,,,103,7,799-811,,"MAJ Telleman, 2025, Acta Ophthalmol"
PUBMED,,,40027177,Ottimizzazione nel trattamento del soggetto con HIV: analisi di impatto economico e organizzativo di Bictegravir/Emtricitabina/Tenofovir Alafenamide.,Glob Reg Health Technol Assess,,2025,Journal Article,ita,0,Ferrario L;Menzaghi B;Rizzardini G;Roccia A;Garagiola E;Bellavia D;Schettini F;Foglia E,,,,,,,,12,,49-60,,"L Ferrario, 2025, Glob Reg Health Technol Assess"
PUBMED,,,40023406,Cytotoxic T-lymphocyte associated protein 4 inhibitors are associated with a higher risk of cardiovascular events than programmed cell death protein 1 inhibitors in patients with melanoma.,J Am Acad Dermatol,,2025,Journal Article,eng,0,Chang CC;Lo SW;Chang HC;Song J;Chang YC;Yang K;Chi KY;Chang Y;Chiang CH;Chiang CH,,,,,,,,93,1,202-204,,"CC Chang, 2025, J Am Acad Dermatol"
PUBMED,,,39951916,Management of patients with active relapsing-remitting or secondary progressive multiple sclerosis: A French real-world study based on claims data linked to a phase IV study.,Mult Scler Relat Disord,,2025,Journal Article,eng,0,Moisset X;Mercier G;Belhassen M;Deygas F;Civet A;Pau D;Rolland L;Bourel G;Larrieu S;Marchal C,,,,,,,,95,,106305,,"X Moisset, 2025, Mult Scler Relat Disord"
PUBMED,,,39853521,Correction: From Clinical to Non-clinical Outcomes in the Treatment of HIV: An Economic and Organizational Impact Assessment.,Pharmacoecon Open,,2025,Published Erratum,eng,0,Ferrario L;Menzaghi B;Rizzardini G;Roccia A;Garagiola E;Bellavia D;Schettini F;Foglia E,,,,,,,,9,2,327,,"L Ferrario, 2025, Pharmacoecon Open"
PUBMED,,,39779279,Deciphering risk factors for severe postherpetic neuralgia in patients with herpes zoster: an interpretable machine learning approach.,Reg Anesth Pain Med,,2026,Journal Article,eng,0,Park SJ;Han J;Choi JB;Min SK;Park J;Choi S,,,,,,,,51,4,429-436,,"SJ Park, 2026, Reg Anesth Pain Med"
PUBMED,,,39734790,Using Data-Science Approaches to Unravel Insights for Enhanced Transport of Lithium Ions in Single-Ion Conducting Polymer Electrolytes.,Chem Mater,,2024,Journal Article,eng,0,Zhu Q;Liu Y;Shepard LB;Bhattacharya D;Sinnott SB;Reinhart WF;Cooper VR;Kumar R,,,,,,,,36,24,11934-11946,,"Q Zhu, 2024, Chem Mater"
PUBMED,,,39713439,Score matching for differential abundance testing of compositional high-throughput sequencing data.,bioRxiv,,2024,Journal Article,eng,0,Ostner J;Li H;Müller CL,,,,,,,,,,,,"J Ostner, 2024, bioRxiv"
PUBMED,,,39709670,Glucagon-like Peptide-1 Agonists Reduce Cardiovascular Events in Cancer Patients on Immune Checkpoint Inhibitors.,Eur J Cancer,,2025,Journal Article,eng,0,Chiang CH;Song J;Chi KY;Chang YC;Xanthavanij N;Chang Y;Hsia YP;Chiang CH;Ghamari A;Reynolds KL;Lin S;Xu XH;Neilan TG,,,,,,,,216,,115170,,"CH Chiang, 2025, Eur J Cancer"
PUBMED,,,39632680,Emergent properties of the lysine methylome reveal regulatory roles via protein interactions and histone mimicry.,Epigenomics,,2025,Journal Article,eng,0,Pollin G;Chi YI;Mathison AJ;Zimmermann MT;Lomberk G;Urrutia R,,,,,,,,17,1,5-20,,"G Pollin, 2025, Epigenomics"
PUBMED,,,39532817,From Clinical to Non-clinical Outcomes in the Treatment of HIV: An Economic and Organizational Impact Assessment.,Pharmacoecon Open,,2025,Journal Article,eng,0,Ferrario L;Menzaghi B;Rizzardini G;Roccia A;Garagiola E;Bellavia D;Schettini F;Foglia E,,,,,,,,9,2,313-326,,"L Ferrario, 2025, Pharmacoecon Open"
PUBMED,,,39528391,Using 'Situation-Background-Assessment-Recommendation' Method in Palliative Care to Enhance Handover Quality and Nursing Practice: A Mix Method Study.,J Clin Nurs,,2025,Journal Article,eng,0,Pinto F;Roberto P;Ferrario L;Marotta L;Montani D;Auletta G;Zoppini L;Foglia E,,,,,,,,34,1,117-127,,"F Pinto, 2025, J Clin Nurs"
PUBMED,,,39526992,Performance evaluation of the introduction of full sample traceability system within the specimen collection process.,Clin Chem Lab Med,,2025,Journal Article,eng,0,Foglia E;Garagiola E;Ferrario L;Plebani M,,,,,,,,63,4,723-733,,"E Foglia, 2025, Clin Chem Lab Med"
PUBMED,,,39518081,From Real-World Data to Causally Interpretable Models: A Bayesian Network to Predict Cardiovascular Diseases in Adolescents and Young Adults with Breast Cancer.,Cancers (Basel),,2024,Journal Article,eng,0,Bernasconi A;Zanga A;Lucas PJF;Scutari M;Di Cosimo S;De Santis MC;La Rocca E;Baili P;Cavallo I;Verderio P;Ciniselli CM;Pizzamiglio S;Blanda A;Perego P;Vallerio P;Stella F;Trama A;The Ada Working Group,,,,,,,,16,21,,,"A Bernasconi, 2024, Cancers (Basel)"
PUBMED,,,39450759,Effectiveness of Omega-3 Fatty Acids Versus Placebo in Subjects at Ultra-High Risk for Psychosis: The PURPOSE Randomized Clinical Trial.,Schizophr Bull,,2025,Journal Article,eng,0,Winter-van Rossum I;Slot MIE;van Hell HH;Bossong MG;Berger G;Aschauer H;Maat A;Walitza S;Lavan O;Baeza I;Dolz M;Monducci E;Fiori Nastro P;Kroken RA;Lawrie SM;Díaz-Caneja CM;Renner T;Schlögelhofer M;Scharinger C;Spalletta G;Banaj N;Otero S;Schipper M;Kwakkel DB;PURPOSE Study Group;Kahn RS,,,,,,,,51,4,1082-1091,,"I Winter-van Rossum, 2025, Schizophr Bull"
PUBMED,,,39435882,Elucidation of DPP-4 involvement in systemic distribution and renal reabsorption of linagliptin by PBPK modeling with a cluster Gauss-Newton method.,Clin Transl Sci,,2024,Journal Article,eng,0,Nakamura R;Yoshikado T;Aoki Y;Sugiyama Y;Chiba K,,,,,,,,17,10,e70047,,"R Nakamura, 2024, Clin Transl Sci"
PUBMED,,,39401960,Exploration of the relationship between general health-related problems and subclinical coronary artery disease: a cross-sectional study in a general population.,BMJ Open,,2024,Journal Article,eng,0,Koopman MY;van der Ende MY;Reijnders JJW;Willemsen RTA;van Bruggen R;Gratama JWC;Kietselaer BLJH;van der Harst P;Vliegenthart R,,,,,,,,14,10,e079835,,"MY Koopman, 2024, BMJ Open"
PUBMED,,,39400639,Recommendations for the creation of benchmark datasets for reproducible artificial intelligence in radiology.,Insights Imaging,,2024,Journal Article,eng,0,Sourlos N;Vliegenthart R;Santinha J;Klontzas ME;Cuocolo R;Huisman M;van Ooijen P,,,,,,,,15,1,248,,"N Sourlos, 2024, Insights Imaging"
PUBMED,,,39395985,Cross-cultural adaptation and validation of the Hospital Survey on Patient Safety questionnaire for a Chilean hospital.,BMC Nurs,,2024,Journal Article,eng,0,Hurtado-Arenas P;Guevara MR;González-Chordá VM,,,,,,,,23,1,748,,"P Hurtado-Arenas, 2024, BMC Nurs"
PUBMED,,,39332590,The incidence and risk of cardiovascular events associated with pembrolizumab in patients with breast cancer.,Cancer Lett,,2024,Journal Article,eng,0,Chiang CH;Xu XH;Song J;Xanthavanij N;Chi KY;Chang YC;Chang Y;Hsiao CL;Hsia YP;Chiang CH;Lin S,,,,,,,,611,,217277,,"CH Chiang, 2024, Cancer Lett"
PUBMED,,,39319287,Automated Drugs Dispensing Systems in Hospitals: a Health Technology Assessment (HTA) Study Across Six European Countries.,Clinicoecon Outcomes Res,,2024,Journal Article,eng,0,Foglia E;Asperti F;Antonacci G;Jani YH;Garagiola E;Bellavia D;Ferrario L,,,,,,,,16,,679-696,,"E Foglia, 2024, Clinicoecon Outcomes Res"
PUBMED,,,39232868,"Association between the antibiotics use and recurrence in patients with resected colorectal cancer: EVADER-1, a nation-wide pharmaco-epidemiologic study.",Dig Liver Dis,,2025,Journal Article,eng,0,Hilmi M;Khati I;Turpin A;Andremont A;Burdet C;Grall N;Vidal J;Bousquet PJ;Rousseau B;Bihan-Benjamin CL,,,,,,,,57,1,89-96,,"M Hilmi, 2025, Dig Liver Dis"
PUBMED,,,39168785,Clinical performance of Bladder EpiCheck™ versus voided urine cytology for detecting recurrence of nonmuscle invasive bladder cancer: Systematic review and meta-analysis.,Urol Oncol,,2024,Journal Article,eng,0,Chiang CH;Chang YC;Peng CY;Wang SS;Jaroenlapnopparat A;Wang JCH;Jou CL;Tang PU;Hsia YP;Chiang CH;Chiang CH,,,,,,,,42,12,449.e21-449.e28,,"CH Chiang, 2024, Urol Oncol"
PUBMED,,,39150589,Correction: Effect of emphysema on AI software and human reader performance in lung nodule detection from low-dose chest CT.,Eur Radiol Exp,,2024,Published Erratum,eng,0,Sourlos N;Pelgrim G;Wisselink HJ;Yang X;de Jonge G;Rook M;Prokop M;Sidorenkov G;van Tuinen M;Vliegenthart R;van Ooijen PMA,,,,,,,,8,1,94,,"N Sourlos, 2024, Eur Radiol Exp"
PUBMED,,,39145403,Metadata for Data dIscoverability aNd Study rEplicability in obseRVAtional Studies (MINERVA): Lessons Learnt From the MINERVA Project in Europe.,Pharmacoepidemiol Drug Saf,,2024,Journal Article,eng,0,Gini R;Pajouheshnia R;Gutierrez L;Swertz MA;Hyde E;Sturkenboom M;Arana A;Franzoni C;Ehrenstein V;Roberto G;Gil M;Maciá MA;Schäfer W;Haug U;Thurin NH;Lassalle R;Droz-Perroteau C;Zaccagnino S;Busto MP;Middelkoop B;Gembert K;Sanchez-Saez F;Rodriguez-Bernal C;Sanfélix-Gimeno G;Hurtado I;Acosta MB;Poblador-Plou B;Carmona-Pírez J;Gimeno-Miguel A;Prados-Torres A;Schultze A;Jansen E;Herings R;Kuiper J;Locatelli I;Jazbar J;Žerovnik Š;Kos M;Smit S;Lind S;Metspalu A;Simou S;Hedenmalm K;Cochino A;Alcini P;Kurz X;Perez-Gutthann S,,,,,,,,33,8,e5884,,"R Gini, 2024, Pharmacoepidemiol Drug Saf"
PUBMED,,,39058407,Accessing a Diverse Set of Functional Red-Light Photoswitches by Selective Copper-Catalyzed Indigo N-Arylation.,J Am Chem Soc,,2024,Journal Article,eng,0,Jaiswal AK;Saha P;Jiang J;Suzuki K;Jasny A;Schmidt BM;Maeda S;Hecht S;Huang CD,,,,,,,,146,31,21367-21376,,"AK Jaiswal, 2024, J Am Chem Soc"
PUBMED,,,39043728,Author Correction: IRE1α-XBP1s pathway promotes prostate cancer by activating c-MYC signaling.,Nat Commun,,2024,Published Erratum,eng,0,Sheng X;Nenseth HZ;Qu S;Kuzu OF;Frahnow T;Simon L;Greene S;Zeng Q;Fazli L;Rennie PS;Mills IG;Danielsen H;Theis F;Patterson JB;Jin Y;Saatcioglu F,,,,,,,,15,1,6190,,"X Sheng, 2024, Nat Commun"
PUBMED,,,39018014,The graded multidimensional geometry of phenotypic variation and progression in neurodegenerative syndromes.,Brain,,2025,Journal Article,eng,0,Ramanan S;Akarca D;Henderson SK;Rouse MA;Allinson K;Patterson K;Rowe JB;Lambon Ralph MA,,,,,,,,148,2,448-466,,"S Ramanan, 2025, Brain"
PUBMED,,,38976293,Does high hepatic bioavailability enhance the effect of oral compared to subcutaneous glucocorticoids?,Clin Exp Rheumatol,,2024,Journal Article,eng,0,van Geel EH;Boers M;Hartman L;Smulders YM,,,,,,,,42,11,2265-2267,,"EH van Geel, 2024, Clin Exp Rheumatol"
PUBMED,,,38969158,Periodontitis is an immune-related adverse event associated with immune checkpoint inhibitors: A multi-center cohort study.,Cancer Lett,,2024,Journal Article,eng,0,Ma KS;Chiang CH;Chen ST;Dinh Y;Chiang CH;Van Dyke TE;Sullivan R;Ananthakrishnan AN;Hsia YP;Peng CM;Chiang CH,,,,,,,,598,,217100,,"KS Ma, 2024, Cancer Lett"
PUBMED,,,38777744,Gradient boosted regression as a tool to reveal key drivers of temporal dynamics in a synthetic yeast community.,FEMS Microbiol Ecol,,2024,Journal Article,eng,0,Conacher CG;Watson BW;Bauer FF,,,,,,,,100,7,,,"CG Conacher, 2024, FEMS Microbiol Ecol"
PUBMED,,,38764066,Effect of emphysema on AI software and human reader performance in lung nodule detection from low-dose chest CT.,Eur Radiol Exp,,2024,Journal Article,eng,0,Sourlos N;Pelgrim G;Wisselink HJ;Yang X;de Jonge G;Rook M;Prokop M;Sidorenkov G;van Tuinen M;Vliegenthart R;van Ooijen PMA,,,,,,,,8,1,63,,"N Sourlos, 2024, Eur Radiol Exp"
PUBMED,,,38672974,"Multidimensional Impact of Dupilumab on Chronic Rhinosinusitis with Nasal Polyps: A Complete Health Technology Assessment of Clinical, Economic, and Non-Clinical Domains.",J Pers Med,,2024,Journal Article,eng,0,La Mantia I;Ottaviano G;Ragusa M;Trimarchi M;Foglia E;Schettini F;Bellavia D;Cantone E,,,,,,,,14,4,,,"I La Mantia, 2024, J Pers Med"
PUBMED,,,38671166,Thromboprophylaxis for outpatients with COVID-19: a Systematic Review and Meta-analysis.,J Thromb Thrombolysis,,2024,Systematic Review,eng,0,Chiang CH;Ahmed O;Liu W;See XY;Chang YC;Peng CY;Wang Z;Chiang CH;Hsia YP;Chiang CH,,,,,,,,57,5,784-787,,"CH Chiang, 2024, J Thromb Thrombolysis"
PUBMED,,,38564640,"OASIS: An interpretable, finite-sample valid alternative to Pearson's X(2) for scientific discovery.",Proc Natl Acad Sci U S A,,2024,Journal Article,eng,0,Baharav TZ;Tse D;Salzman J,,,,,,,,121,15,e2304671121,,"TZ Baharav, 2024, Proc Natl Acad Sci U S A"
PUBMED,,,38422606,Complex interventions in frail older adults.,Arch Gerontol Geriatr,,2024,Letter,eng,0,Van der Elst MCJ;Schoenmakers B;Schols JMGA;De Witte N;De Lepeleire J,,,,,,,,122,,105372,,"MCJ Van der Elst, 2024, Arch Gerontol Geriatr"
PUBMED,,,38347856,Leisure time physical activity is associated with improved diastolic heart function and is partly mediated by unsupervised quantified metabolic health.,BMJ Open Sport Exerc Med,,2024,Journal Article,eng,0,Klarenberg H;van der Velde JH;Peeters CF;Dekkers IA;de Mutsert R;Jukema JW;Rosendaal FR;Leiner T;Froeling M;Jorstad H;Boekholdt SM;Strijkers GJ;Lamb HJ,,,,,,,,10,1,e001778,,"H Klarenberg, 2024, BMJ Open Sport Exerc Med"
PUBMED,,,38318999,Barbed sutures and skin adhesives improve wound closure in hip and knee arthroplasty.,Knee Surg Sports Traumatol Arthrosc,,2024,Journal Article,eng,0,Romanini E;Zanoli GA;Ascione T;Balato G;Baldini A;Foglia E;Pellegrini AV;Verde F;Zaffagnini S,,,,,,,,32,2,303-310,,"E Romanini, 2024, Knee Surg Sports Traumatol Arthrosc"
PUBMED,,,38301750,CLARUS: An interactive explainable AI platform for manual counterfactuals in graph neural networks.,J Biomed Inform,,2024,Journal Article,eng,0,Metsch JM;Saranti A;Angerschmid A;Pfeifer B;Klemt V;Holzinger A;Hauschild AC,,,,,,,,150,,104600,,"JM Metsch, 2024, J Biomed Inform"
PUBMED,,,38287951,SpectroFood dataset: A comprehensive fruit and vegetable hyperspectral meta-dataset for dry matter estimation.,Data Brief,,2024,Journal Article,eng,0,Malounas I;Vierbergen W;Kutluk S;Zude-Sasse M;Yang K;Zhao M;Argyropoulos D;Van Beek J;Ampe E;Fountas S,,,,,,,,52,,110040,,"I Malounas, 2024, Data Brief"
